label,city_id
Aguascalientes,ND47q350Tr_F3--HoUwTVA
Asientos,5ARs4UkP3ElRnO_NrpcZBA
Calvillo,BhHkgltpqs5-Nd8RdKsROA
Cosío,GiDP35la2gRLQimkFSz5KA
El Llano,ZV3VEYiuDqZtvL6T4VDTug
Jesús María,WO-Gdi43CIuXpKIEvIwejQ
Pabellón de Arteaga,E5OoAc0fA3KQJTOoGKm_Ww
Rincón de Romos,I9JyQtG2XwkkD7y9b-N1FA
San Francisco de los Romo,wJctf8BpeZ4SWGEX-UGq0g
San José de Gracia,dSGwcY-HqhBPhrY9Bik2bQ
Tepezalá,UK7CmoRT5x94g2OQjSLjTQ
Ensenada,NMT5WzgX25M6d3v_Nqtf-w
Mexicali,zyITjOU9Yom9ZnQAfX5G0A
Playas de Rosarito,O9dcn5a7t9JZuutXFIE4Ig
Tecate,OC1hz3ixDVgnz669gFHgTQ
Tijuana,MweuKLPCu1Aisz_UEziNrA
Comondú,RxuzjRGW1C-uWJWqf4HP9A
La Paz,M5lrBDw_PHCdWbxaLsZkxg
Loreto,nnaTb5pE8TcahTs7PCEH4g
Los Cabos,DBbWGq36bjtlkXuoQTKVnQ
Mulegé,5mk8dfYCS6Ss14H4sFYAPQ
Ciudad de México,UznFCUea0ID21C5fVQHmqA
Delegación Alvaro Obregón,tvEEGm2c3rcy55gC9LAgSA
Delegación Azcapotzalco,nl7QySq--dtOJtVgSN1eog
Delegación Benito Juárez,kReeh3pi1bZMErQUAqiLTw
Delegación Coyoacán,aTKx3py-rnA5XG-CMicBSQ
Delegación Cuajimalpa de Morelos,9xjA1_cH2q8ph30wgKxYLA
Delegación Cuauhtémoc,hI2J3cSqMpVzTgXFU2YIIw
Delegación Gustavo A. Madero,JsWFRD06tPqCzu3h0rfCQg
Delegación Iztacalco,FxS6y6R6WTDN6_GvX8YBmg
Delegación Iztapalapa,12oeAnwv9MnyIJopD9Sw0w
Delegación La Magdalena Contreras,kP9dydtozzSMrderGwcB3Q
Delegación Miguel Hidalgo,EyoL7DiYHXrc6FH9YshtWQ
Delegación Milpa Alta,CnivZRF7hVEMwou9cNBl6g
Delegación Tlalpan,5mg1uraw4H8QOO-RSWN9Jg
Delegación Tláhuac,-cJoprEzv3M5D2Kf2S9GIQ
Delegación Venustiano Carranza,8x9VCkHFtwWz9OgvRFkMcw
Delegación Xochimilco,qPyfB3qDQkpGKeFZm7i8Nw
Abasolo,pnOVa0XVvoo0gBAhkZ423A
Acámbaro,tJReXt5HlLHab2oJSdD-1A
Apaseo el Alto,DMrz2xIdN9O3x9UB0sSuPA
Apaseo el Grande,7j78_3f7nanpIzZZI4qoAg
Atarjea,V8bEwFnDTMB-5kVGe7GKWA
Celaya,2IruDWlfScwi4YRVdTZ2Zw
Comonfort,wQGWQqsP5NxC2Y0RmG2j0A
Coroneo,0tqVo6liUQFS8-uQ-YshUg
Cortazar,mNdCoVwXVwQUoivQ3GQy2w
Cuerámaro,Qp3D4n0a9Re76AfMFBEECQ
Doctor Mora,lLp71AtP_tTEuE0E2DX4mg
Dolores Hidalgo,vVNFuCi1nAsTm-sZvlAw6A
Guanajuato,qeffMJxYLci4hfTcZxryuA
Huanímaro,5cKwjxyhZpBDGVAgavMocw
Irapuato,4u7ajbDR07fyLbgCCLO-rQ
Jaral del Progreso,9vaHjFwH5aZg5oTmMUNSmA
Jerécuaro,gCQWNFJhbMLJkynCU7DHFA
León,lSFri4vUEKD2RU-MNsIFnw
Manuel Doblado,JS8bIv3Uv6052V6bHZGprg
Moroleón,UOD6ra1HDYAugXTdyGpbgw
Ocampo,71zu-NfOTk8Tiee73fqgaA
Pueblo Nuevo,-AflcVkxAo7_ex-pS-JV7Q
Purísima del Rincón,5j-O1YypeHqxMse_k8q96Q
Pénjamo,pTeFova0uik2lAKQtFvWog
Romita,j3RtsQxlbOCKfHEOFl6MjQ
Salamanca,oE8wuwQA7BV8hpPXkSIpMQ
Salvatierra,hk494gidfnGRM-78hEsLPA
San Diego de la Unión,VLmCgkcSqlwDeKAkoGGtLA
San Felipe,v2egLG2ojD6HOxICPLTKCg
San Francisco del Rincón,fLnaWioh2RqboT8aOdRYeg
San José Iturbide,baFHth7LTpK-B0pyDrHe_A
